HABERKORN ULMER POLSKA SP. Z O.O.,"
44-365 Wodzisław Śląski
ul. Młodzieżowa 67B
woj.
śląskie
tel. (032) 4546922fax. (032) 4551033       "
Ośrodek Sportowy PZSN Start,"
e-mail : haberkorn@haberkorn.plInternet : http://www.haberkorn.plNIP : 647-235-72-15

       "
Wielospecjalistyczny Zakład Zdrowotny OPTOMED Sp. z o.o.,"
43-460 Wisła
ul. Olimpijska 1
woj.
śląskie
tel. (033) 8552414-15fax. (033) 8552414       "
Instytut Techniki Budowlanej Oddział Śląski,"
e-mail : poczta@osstart.com.plInternet : http://www.osstart.com.plNIP : 526-10-53-340

       "
Bogmar P.P.H.U. ZPChr,"
44-203 Rybnik
ul. Wyzwolenia 79b
woj.
śląskie
tel. (32) 4328700       "
El-Chłod F.U.P.H. Gawlas Józef,"
e-mail : info@medicaleffect.plInternet : http://www.medicaleffect.pl

       "
Auto-Importer,"
40-153 Katowice
al. Korfantego 191
woj.
śląskie
tel. (032) 7302516fax. (032) 7302522       "
Azon,"
e-mail : itb@itb.katowice.plInternet : http://www.itb.plNIP : 525-000-93-58

       "
Automat Z.P.H.U.,"
43-300 Bielsko-Biała
ul. Sobieskiego 160
woj.
śląskie
tel. (033) 8123248       "
Arcold P.H.U.,"
e-mail : bogmar@home.plInternet : http://www.bogmar.home.plNIP : 547-008-88-16

       "
Klima,"
43-438 Brenna
ul. Bukowa 57
woj.
śląskie
tel. (033) 8536776fax. (033) 8536776       "
Śląskie Centrum Chłodnictwa i Klimatyzacji Piotr Chlebowski,"
e-mail : elchlod@brenna.plInternet : http://www.elchlod.brenna.plNIP : 548-101-64-24

       "
Art-Dom,"
43-385 Jasienica
ul. Cieszyńska 1021
woj.
śląskie
tel. (033) 8159203-04fax. (033) 4987590       "
Igloo-Tech,"
e-mail : biuro@auto-importer.plInternet : http://www.auto-importer.plNIP : 547-182-01-42

       "
Rabatex Sp.j.,"
43-340 Kozy
ul. Przemysłowa 4
woj.
śląskie
tel. (033) 8174405       "
Weltmar S.C.,"
NIP : 547-016-82-60

       "
Auto-Klima,"
43-400 Cieszyn
ul. Stawowa 50
woj.
śląskie
tel. (033) 8518002       "
Promer S.C.,"
NIP : 547-016-49-77

       "
Darpin Sp. z o.o.,"
41-800 Zabrze
ul. Szczęść Boże 21
woj.
śląskie
tel. (032) 3768220       "
Grasso Sp. z o.o. Filia w Katowicach,"
NIP : 648-000-89-43

       "
Dorotka F.H.,"
41-500 Chorzów
ul. Świdra 16
woj.
śląskie
tel. (032) 2416048       "
Dramax P.H.U.,"
NIP : 627-186-57-26

       "
Dwójka F.H.,"
41-506 Chorzów
ul. Gałeczki 91
woj.
śląskie
tel. (032) 2496436fax. (032) 3481344       "
Dym Krzysztof,"
e-mail : centrum@chlodnictwo.com.plInternet : http://www.chlodnictwo.com.plNIP : 626-002-18-70

       "
Erdo S.C.,"
41-200 Sosnowiec
ul. Ostrogórska 33
woj.
śląskie
tel. (032) 2924336       "
Fax S.C.,"
NIP : 644-001-02-53

       "
Iwona S.C.,"
41-216 Sosnowiec
ul. Wiejska 39
woj.
śląskie
tel. (032) 2633630       "
Julia P.H.U.,"
NIP : 627-111-35-12

       "
Almed S.C. Poradnia Alergologiczna,"
43-316 Bielsko-Biała
ul. Margaretek 23
woj.
śląskie
tel. (033) 8141121fax. (033) 8185451       "
Pod Lipami F.H.,"
NIP : 547-004-85-38

       "
ABC,"
43-300 Bielsko-Biała
Podwale 53a
woj.
śląskie
tel. (033) 8125479fax. (033) 8125479       "
Atest S.C.,"
e-mail : weltmar@weltmar.com.plInternet : http://www.weltmar.com.plNIP : 547-10-08-363

       "
Borda S.C.,"
43-430 Skoczów
ul. Stalmacha 54
woj.
śląskie
tel. (033) 8531517       "
Comax P.H.U.,"
NIP : 548-101-18-23

       "
Nina,"
43-400 Cieszyn
ul. Stawowa 22
woj.
śląskie
tel. (033) 8521151       "
66 S.C. Lucjan Bała,"
NIP : 548-20-56-868

       "
Dux 2 F.H.,"
44-100 Gliwice
ul. Rybnicka 70
woj.
śląskie
tel. (032) 2705926fax. (032) 2705927       "
Oleńka,"
e-mail : darpin@darpin.com.plInternet : http://www.darpin.com.plNIP : 648-174-43-60

       "
Karolinka Lux,"
43-190 Mikołów
ul. Towarowa 11
woj.
śląskie
tel. (032) 7379428fax. (032) 7379418       "
Mikro P.P.H.U.,"
Internet : http://www.grasso.plNIP : 586-00-22-417

       "
Organika-ABX S.C. Centrala,"
42-500 Będzin
ul. Krasickiego 3
woj.
śląskie
tel. (032) 7615521       "
Błaszczyk S.C. Firma Jubilerska,"
NIP : 629-171-45-80

       "
Alchem Sp. z o.o. Magazyn Siemianowice,"
44-120 Pyskowice
ul. Strzelców Bytomskich 18a
woj.
śląskie
tel. (032) 2339508       "
Alchem Sp. z o.o.,"
NIP : 631-020-68-74

       "
Ka-Mar,"
44-189 Wilcza
ul. Miarki 116
woj.
śląskie
tel. (032) 2397487       "
Cieślik W. Musioł E. S.C.,"
NIP : 631-010-82-55

       "
Kominek,"
43-600 Jaworzno
ul. Filomatów 3
woj.
śląskie
tel. (032) 6161422       "
Na Upadzie,"
NIP : 632-000-88-22

       "
Darbut,"
44-100 Gliwice
ul. Malinowskiego 11
woj.
śląskie
tel. (032) 3006335       "
MCM S.C.,"
NIP : 631-00-26-899

       "
Secret S.C.,"
44-100 Gliwice
ul. Pszczyńska 12
woj.
śląskie
tel. (032) 2321330       "
Astra-2 S.C.,"
NIP : 631-000-55-49

       "
Trójka Sp. z o.o.,"
44-100 Gliwice
ul. Raciborska 3/1
woj.
śląskie
tel. (032) 2309032       "
Zych P. i M. S.C.,"
NIP : 631-220-10-07osoba do kontaktu : Iwona Wojciechowska

       "
Art-Chem,"
44-100 Gliwice
ul. Zakopiańska 14
woj.
śląskie
tel. (032) 2701349       "
Małgosia,"
NIP : 631-021-12-20

       "
Tęcza,"
44-100 Gliwice
ul. Daszyńskiego 154
woj.
śląskie
tel. (032) 2319093       "
U Adama,"
NIP : 631-22-96-256

       "
ABC,"
44-100 Gliwice
ul. Lipowa 27
woj.
śląskie
tel. (032) 2311878       "
Aga S.C.,"
NIP : 631-102-83-57

       "
Serwis Janosz Tadeusz Janosz,"
41-200 Sosnowiec
ul. Gospodarcza 39
woj.
śląskie
tel. (032) 2910567       "
Proxima Alicja Grabiec,"
NIP : 664-280-65-07

       "
Chłodgastr,"
41-200 Sosnowiec
ul. Kiepury 5
woj.
śląskie
tel. (032) 2995784       "
Klimwer F.H.U.,"
NIP : 644-000-86-12

       "
Wałach Jacek,"
41-200 Sosnowiec
ul. 11 Listopada 34
woj.
śląskie
tel. (032) 2637585       "
Saara F.H.U.P.,"
NIP : 644-108-14-04

       "
Kalimpex P.H.U.,"
41-200 Sosnowiec
ul. Ostrogórska 36
woj.
śląskie
tel. (032) 2924885       "
San-Med Przychodnia Lekarska NZOZ,"
NIP : 644-243-90-55

       "
Igloo 2,"
41-200 Sosnowiec
ul. Ostrogórska 31a
woj.
śląskie
tel. (032) 2924055       "
Cool-Bem P.P.H.U. Siedziba Firmy,"
NIP : 644-000-98-18

       "
Renata S.C.,"
41-200 Sosnowiec
ul. Złota 1
woj.
śląskie
tel. (032) 2938317       "
Szczepanek Jerzy,"
NIP : 644-051-01-97

       "
Apollo S.C.,"
41-200 Sosnowiec
ul. Kraszewskiego 4
woj.
śląskie
tel. (032) 2927663       "
Urtica-Fix Sp. z o.o.,"
NIP : 644-184-02-70

       "
